sample_id,gender,type,tissue_old,age,tissue,ACE2,ESR1,ACE1,ESR2,AR,PGR,TMPRSS2
GTEX.1117F.0226.SM.5GZZ7,female,normal,Adipose Tissue,60-100,NA,0.179834898,1.343742124,2.563442611,0.895205205,1.812832009,1.301635795,2.208079602
GTEX.1117F.0426.SM.5EGHI,female,normal,Muscle,60-100,NA,0.140789753,1.108838974,1.044803994,0.635810117,0.833733725,0.280952382,0.223625449
GTEX.1117F.0526.SM.5EGHJ,female,normal,Blood Vessel,60-100,NA,0.185324201,1.234462861,1.138835177,0.74989142,1.755028326,1.738712691,0.554049187
GTEX.1117F.0626.SM.5N9CS,female,normal,Blood Vessel,60-100,NA,1.925469089,1.804856265,2.174451319,0.610329099,1.817493568,2.016178282,0.188936113
GTEX.1117F.0726.SM.5GIEN,female,normal,Heart,60-100,heart,1.990949726,1.008587144,2.012700346,0.301696599,0.981184678,1.111900259,0.190541202
GTEX.1117F.1326.SM.5EGHH,female,normal,Adipose Tissue,60-100,NA,1.456154064,1.232713498,2.252780871,0.582053793,0.91319965,0.771132413,0.181576708
GTEX.111CU.1026.SM.5EGIL,male,normal,Adipose Tissue,20-59,NA,1.987901937,0.903028706,2.001870964,1.11376534,1.606613523,0.358487555,0.188714866
GTEX.1117F.2426.SM.5EGGH,female,normal,Uterus,60-100,NA,0.444460779,3.246379053,2.279280555,2.235153208,2.654724209,3.346548636,0.519501521
GTEX.1117F.2826.SM.5GZXL,female,normal,Breast,60-100,NA,1.578286975,1.758532274,2.069619812,0.737056953,1.645128867,1.373613414,2.04604996
GTEX.1117F.3026.SM.5GZYU,female,normal,Salivary Gland,60-100,NA,1.115682688,1.290056447,2.414044984,1.061916237,1.280156645,0.738537493,2.903875717
GTEX.1117F.3226.SM.5N9CT,female,normal,Brain,60-100,brain,0.224475647,0.259615228,1.936387304,0.242239173,0.37198431,0.592505238,0.168845152
GTEX.111CU.0126.SM.5GZWZ,male,normal,Adrenal Gland,20-59,NA,0.362363504,0.947074091,2.629720561,2.093412905,1.038142191,0.745422866,0.314547065
GTEX.111CU.0226.SM.5GZXC,male,normal,Thyroid,20-59,NA,1.606950479,1.202152847,2.313879396,0.788401941,1.392841352,0.649549024,3.171492325
GTEX.111CU.0326.SM.5GZXO,male,normal,Lung,20-59,lung,0.740428611,1.281452719,2.404876442,0.752615341,1.589314654,0.481658698,2.833532853
GTEX.111CU.0526.SM.5EGHK,male,normal,Pancreas,20-59,pancreas,0.840329262,0.390438663,1.099811709,0.329228562,0.668438325,0.091680245,2.735781557
GTEX.111CU.0626.SM.5EGHL,male,normal,Esophagus,20-59,NA,1.096053472,0.6069688,1.760958879,0.383893514,1.134799482,1.493296284,0.343859198
GTEX.111CU.0726.SM.5GZYD,male,normal,Esophagus,20-59,NA,1.619264709,0.382963345,1.756198214,0.728553686,1.3298886,0.311122341,2.790230873
GTEX.111CU.0926.SM.5EGIK,male,normal,Stomach,20-59,NA,0.266984585,0.314511901,1.426987214,0.359376579,0.866518183,0.105267866,3.081642559
GTEX.113IC.0226.SM.5HL5C,male,normal,Adipose Tissue,60-100,NA,0.159687992,1.79489946,2.983189576,1.132117187,2.28682094,1.575381293,0.109403901
GTEX.111CU.1126.SM.5EGIM,male,normal,Skin,20-59,skin,0.484709759,0.537151172,1.727573107,0.923143082,1.503500215,0.194043277,1.365623865
GTEX.111CU.1226.SM.5EGIN,male,normal,Colon,20-59,colon,0.851270475,0.582799076,2.170676604,0.358182747,1.733964642,1.449651107,1.624480383
GTEX.111CU.1326.SM.5NQ8L,male,normal,Small Intestine,20-59,small intestine,2.514705743,0.966163721,2.70650393,1.055745648,1.510656314,1.121328505,2.429739657
GTEX.111CU.1426.SM.5GZYP,male,normal,Colon,20-59,colon,2.378641348,0.24976677,1.883995612,0.597258657,0.367499851,0.154253363,3.503151646
GTEX.111CU.1526.SM.5N9FS,male,normal,Prostate,20-59,prostate,0.473469946,1.586331578,2.024650707,1.036992908,2.358279222,1.527636512,3.149292451
GTEX.111CU.1726.SM.5EGHM,male,normal,Testis,20-59,testis,2.745901181,1.523558089,3.352099078,2.158806256,1.867767028,1.88928863,1.573877567
GTEX.111CU.1826.SM.5GZYN,male,normal,Adipose Tissue,20-59,NA,1.40838449,1.25969773,2.658144772,1.276804766,2.319728682,0.958716092,0.202297402
GTEX.111CU.1926.SM.5GZYZ,male,normal,Skin,20-59,skin,0.778187641,0.609253981,2.120701853,1.033612614,1.478647512,0.769285253,2.107289181
GTEX.11DXX.2026.SM.5EGJL,female,normal,Adipose Tissue,60-100,NA,2.174101162,1.251331287,2.14223076,0.548003405,2.206455159,1.226457601,1.025179526
GTEX.111CU.2226.SM.5N9G5,male,normal,Nerve,20-59,NA,0.904344108,1.924972577,2.02669539,1.076886487,1.851269078,0.639431677,0.053439832
GTEX.111FC.0126.SM.5N9DL,male,normal,Skin,60-100,skin,0.571921511,0.812822954,1.562731355,0.298207675,1.289413228,0.476165518,1.739583528
GTEX.111FC.0226.SM.5N9B8,male,normal,Adipose Tissue,60-100,NA,0.451864571,1.939143186,2.920988067,0.498511725,2.050721128,1.933085385,-2.91E-08
GTEX.111FC.0326.SM.5GZZ1,male,normal,Muscle,60-100,NA,0.326134916,0.839405741,1.995026914,0.277015057,1.317974889,0.242558613,0.293708667
GTEX.11DXX.2326.SM.5Q5A2,female,normal,Adipose Tissue,60-100,NA,2.307323309,1.585178016,2.407983652,1.347183067,2.513992714,0.825465456,0.105597995
GTEX.111FC.0526.SM.5GZZ8,male,normal,Nerve,60-100,NA,0.616482622,1.619159416,2.439666496,0.632227972,1.59535702,1.189939913,0.196766735
GTEX.1211K.1226.SM.5EQ4N,female,normal,Adipose Tissue,60-100,NA,2.180759139,1.301105851,1.568234256,0.782414445,2.083416175,0.661335879,0.050680718
GTEX.111FC.0826.SM.5GZWO,male,normal,Heart,60-100,heart,1.562840389,1.009292285,2.018699705,0.259663032,1.265851448,1.101534076,0.233320123
GTEX.111FC.1026.SM.5GZX1,male,normal,Thyroid,60-100,NA,2.503084875,1.723567794,3.071554485,0.466095419,1.534433068,0.60914026,1.977794705
GTEX.111YS.0626.SM.5GZXV,male,normal,Lung,60-100,lung,2.036173923,1.361648165,2.640165759,0.829387264,1.361648165,1.08872963,3.341380676
GTEX.111FC.1326.SM.5N9D9,male,normal,Spleen,60-100,NA,-2.74E-08,1.238104756,1.780124077,1.942718711,0.880655112,1.54379635,1.154443835
GTEX.111FC.1426.SM.5N9C7,male,normal,Adipose Tissue,60-100,NA,1.590109415,1.499027042,2.563851324,0.473101684,1.535391094,0.896516762,0.067629116
GTEX.111FC.1926.SM.5GZYC,male,normal,Testis,60-100,testis,2.683353435,1.603001414,3.211449004,1.931133152,1.743363986,1.896194364,1.922082444
GTEX.111FC.2026.SM.5GZYO,male,normal,Prostate,60-100,prostate,0.31136829,2.126593577,2.546607213,0.524328442,2.312736245,1.420559034,3.443414349
GTEX.111FC.2526.SM.5GZXU,male,normal,Skin,60-100,skin,0.443364059,1.263222327,2.43407398,0.811008117,1.297025687,0.923926176,2.610272793
